10570 sample, 497 chars
公 -- 24 times,  0.23%
路 -- 24 times,  0.23%
石 -- 22 times,  0.21%
整 -- 14 times,  0.13%
究 -- 15 times,  0.14%
读 -- 16 times,  0.15%
都 -- 18 times,  0.17%
百 -- 24 times,  0.23%
将 -- 21 times,  0.20%
三 -- 17 times,  0.16%
很 --  9 times,  0.09%
于 -- 27 times,  0.26%
我 -- 32 times,  0.30%
情 -- 20 times,  0.19%
思 -- 16 times,  0.15%
农 -- 22 times,  0.21%
生 -- 23 times,  0.22%
大 -- 27 times,  0.26%
女 -- 16 times,  0.15%
亮 -- 19 times,  0.18%
爱 -- 29 times,  0.27%
记 -- 30 times,  0.28%
队 -- 30 times,  0.28%
政 -- 26 times,  0.25%
难 -- 27 times,  0.26%
敌 -- 20 times,  0.19%
义 -- 32 times,  0.30%
里 -- 19 times,  0.18%
从 -- 31 times,  0.29%
提 -- 30 times,  0.28%
体 -- 15 times,  0.14%
展 -- 24 times,  0.23%
还 -- 19 times,  0.18%
回 -- 24 times,  0.23%
照 -- 17 times,  0.16%
苦 -- 19 times,  0.18%
哪 -- 19 times,  0.18%
间 --  1 times,  0.01%
加 -- 18 times,  0.17%
长 -- 26 times,  0.25%
暗 --  2 times,  0.02%
写 -- 18 times,  0.17%
东 -- 16 times,  0.15%
唱 -- 18 times,  0.17%
那 -- 19 times,  0.18%
接 -- 26 times,  0.25%
座 -- 25 times,  0.24%
收 -- 23 times,  0.22%
治 -- 25 times,  0.24%
区 -- 17 times,  0.16%
社 -- 22 times,  0.21%
旁 --  9 times,  0.09%
呀 -- 17 times,  0.16%
觉 -- 23 times,  0.22%
半 -- 30 times,  0.28%
忍 --  1 times,  0.01%
跑 -- 24 times,  0.23%
青 -- 23 times,  0.22%
神 -- 22 times,  0.21%
形 -- 23 times,  0.22%
该 -- 31 times,  0.29%
啦 -- 21 times,  0.20%
表 -- 25 times,  0.24%
深 -- 22 times,  0.21%
想 -- 20 times,  0.19%
赶 -- 20 times,  0.19%
系 -- 23 times,  0.22%
忽 -- 27 times,  0.26%
拿 -- 19 times,  0.18%
包 -- 24 times,  0.23%
万 -- 25 times,  0.24%
服 -- 18 times,  0.17%
二 -- 17 times,  0.16%
题 -- 22 times,  0.21%
定 -- 30 times,  0.28%
多 -- 25 times,  0.24%
天 -- 12 times,  0.11%
您 -- 14 times,  0.13%
音 -- 17 times,  0.16%
由 -- 31 times,  0.29%
论 -- 26 times,  0.25%
房 -- 23 times,  0.22%
流 -- 18 times,  0.17%
光 -- 20 times,  0.19%
屋 -- 19 times,  0.18%
位 -- 21 times,  0.20%
野 -- 23 times,  0.22%
道 -- 24 times,  0.23%
衣 -- 28 times,  0.26%
步 -- 22 times,  0.21%
勤 --  1 times,  0.01%
部 -- 32 times,  0.30%
只 -- 18 times,  0.17%
们 -- 20 times,  0.19%
时 -- 22 times,  0.21%
她 -- 20 times,  0.19%
类 -- 19 times,  0.18%
穿 -- 20 times,  0.19%
岁 -- 23 times,  0.22%
理 -- 24 times,  0.23%
趋 --  1 times,  0.01%
怎 -- 33 times,  0.31%
得 -- 19 times,  0.18%
刚 -- 15 times,  0.14%
原 -- 13 times,  0.12%
没 -- 15 times,  0.14%
报 -- 28 times,  0.26%
本 -- 19 times,  0.18%
爬 -- 23 times,  0.22%
咱 -- 21 times,  0.20%
决 -- 22 times,  0.21%
点 -- 24 times,  0.23%
脸 --  8 times,  0.08%
似 -- 23 times,  0.22%
过 -- 11 times,  0.10%
先 -- 24 times,  0.23%
每 -- 21 times,  0.20%
答 -- 15 times,  0.14%
志 -- 13 times,  0.12%
作 -- 25 times,  0.24%
解 -- 19 times,  0.18%
此 -- 20 times,  0.19%
全 -- 15 times,  0.14%
转 -- 23 times,  0.22%
可 -- 18 times,  0.17%
确 -- 14 times,  0.13%
数 -- 21 times,  0.20%
至 -- 12 times,  0.11%
干 -- 22 times,  0.21%
却 -- 23 times,  0.22%
— -- 103 times,  0.97%
空 -- 20 times,  0.19%
国 -- 20 times,  0.19%
谁 -- 22 times,  0.21%
把 -- 17 times,  0.16%
不 -- 16 times,  0.15%
向 -- 28 times,  0.26%
众 -- 20 times,  0.19%
候 -- 20 times,  0.19%
果 -- 22 times,  0.21%
认 -- 28 times,  0.26%
中 -- 28 times,  0.26%
就 -- 20 times,  0.19%
新 -- 26 times,  0.25%
亲 -- 24 times,  0.23%
感 -- 22 times,  0.21%
根 -- 23 times,  0.22%
画 -- 17 times,  0.16%
围 -- 18 times,  0.17%
重 -- 17 times,  0.16%
风 -- 15 times,  0.14%
盒 --  2 times,  0.02%
叔 -- 15 times,  0.14%
块 -- 29 times,  0.27%
九 -- 22 times,  0.21%
传 -- 23 times,  0.22%
飞 -- 20 times,  0.19%
无 -- 25 times,  0.24%
团 -- 27 times,  0.26%
古 -- 21 times,  0.20%
山 -- 18 times,  0.17%
关 -- 16 times,  0.15%
说 -- 19 times,  0.18%
白 -- 18 times,  0.17%
极 -- 21 times,  0.20%
一 -- 42 times,  0.40%
内 -- 24 times,  0.23%
掉 -- 19 times,  0.18%
事 -- 14 times,  0.13%
同 -- 28 times,  0.26%
渐 -- 19 times,  0.18%
研 -- 25 times,  0.24%
战 -- 22 times,  0.21%
些 -- 13 times,  0.12%
